open_time,open,high,low,close,volume,quote_asset_vol,trade_num,taker_buy_base_vol,taker_buy_quote_vol
2019-09-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-09-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-07 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-10-31 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-07 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-07 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-31 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-07 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-08 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-09 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-10 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-11 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-12 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-13 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-14 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-15 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-16 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-17 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-18 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-19 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-20 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-21 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-22 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-23 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-24 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-25 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-26 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-27 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-28 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-29 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-30 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-31 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-02-01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-02-02 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-02-03 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-02-04 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-02-05 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-02-06 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-02-07 18:00:00,4.574,4.95,4.573,4.822,965941.88,4645204.01722,16535.0,449923.74,2162555.95212
2020-02-08 18:00:00,4.817,4.835,4.485,4.647,1234406.02,5807655.03152,17693.0,563195.99,2651095.49925
2020-02-09 18:00:00,4.642,4.81,4.626,4.76,985383.9,4659531.11917,14600.0,429159.51,2030973.17427
2020-02-10 18:00:00,4.76,4.81,4.547,4.782,1026402.54,4818007.0516,19279.0,486820.68,2286321.01164
2020-02-11 18:00:00,4.774,5.237,4.696,5.118,1946745.8,9671020.00559,30147.0,966262.71,4801112.15593
2020-02-12 18:00:00,5.119,5.346,5.05,5.117,1592273.17,8309187.57006,28159.0,718154.29,3749525.39296
2020-02-13 18:00:00,5.121,5.274,4.838,4.919,2061445.94,10313464.29165,31394.0,856825.1,4291444.90581
2020-02-14 18:00:00,4.917,5.17,4.866,5.128,1221732.7,6124581.60943,24216.0,604032.72,3029487.12405
2020-02-15 18:00:00,5.13,5.159,4.384,4.608,1869691.28,8904749.62064,26643.0,701164.15,3339950.61472
2020-02-16 18:00:00,4.605,4.778,4.0,4.384,2256837.69,10011143.68011,36136.0,1113115.8,4946468.36073
2020-02-17 18:00:00,4.386,4.431,3.904,4.274,1904662.63,7910640.8371,34286.0,928134.81,3858191.84337
2020-02-18 18:00:00,4.277,4.505,3.968,4.441,1513693.03,6402904.46572,20286.0,684319.51,2902686.73584
2020-02-19 18:00:00,4.441,4.704,4.044,4.148,1778122.27,7897804.41742,21610.0,807786.75,3597843.63864
2020-02-20 18:00:00,4.143,4.556,4.099,4.468,2241518.52,9650955.29855,28751.0,1125044.21,4850561.87083
2020-02-21 18:00:00,4.464,4.989,4.412,4.962,4334831.35,20483854.03888,43501.0,2216929.99,10481729.85682
2020-02-22 18:00:00,4.96,5.097,4.657,5.027,4089454.98,20091135.43839,46861.0,2106492.49,10357902.66452
2020-02-23 18:00:00,5.02,5.1,4.739,4.808,3010097.42,14768733.31713,34671.0,1387675.19,6816249.42571
2020-02-24 18:00:00,4.808,4.94,4.201,4.399,4888439.01,22497830.59477,39228.0,2246602.54,10352832.54883
2020-02-25 18:00:00,4.397,4.42,3.993,4.051,3095092.65,13077509.34116,27489.0,1390718.79,5880196.42347
2020-02-26 18:00:00,4.051,4.082,3.45,3.642,3821641.65,14352559.66152,32434.0,1806590.43,6781736.51503
2020-02-27 18:00:00,3.643,3.862,3.348,3.697,4018400.46,14769261.14942,27313.0,1949846.93,7165346.28248
2020-02-28 18:00:00,3.699,3.756,3.423,3.542,3971987.03,14182470.70968,27621.0,1945550.23,6950722.92916
2020-02-29 18:00:00,3.541,3.69,3.437,3.449,1945540.88,6921057.43847,18469.0,952460.49,3390679.80745
2020-03-01 18:00:00,3.444,3.55,3.253,3.348,3230745.38,11017886.33477,22869.0,1593692.77,5434223.73574
2020-03-02 18:00:00,3.344,3.774,3.331,3.71,2769487.79,9934066.43433,23733.0,1356584.88,4870474.68092
2020-03-03 18:00:00,3.709,3.711,3.516,3.623,2749977.07,9920265.19291,21538.0,1319919.46,4761833.60008
2020-03-04 18:00:00,3.625,3.898,3.623,3.746,3508114.08,13248147.79092,22211.0,1665889.12,6287112.46827
2020-03-05 18:00:00,3.749,3.946,3.734,3.768,3435726.94,13297299.29846,23173.0,1603742.76,6210095.40261
2020-03-06 18:00:00,3.766,3.885,3.705,3.862,2189424.78,8306427.47393,16911.0,1090488.64,4136203.2143
2020-03-07 18:00:00,3.864,3.874,3.572,3.618,1450764.74,5402274.3989,12988.0,636473.8,2372024.06651
2020-03-08 18:00:00,3.619,3.619,3.05,3.086,3964459.9,13178584.00822,24022.0,1805073.18,6000515.29193
2020-03-09 18:00:00,3.086,3.168,2.813,3.026,5368256.98,16149776.05812,27825.0,2655629.73,7990545.26488
2020-03-10 18:00:00,3.026,3.203,2.881,3.06,3967772.99,12093621.42303,26595.0,1939566.4,5914059.26277
2020-03-11 18:00:00,3.059,3.107,2.705,2.997,4033649.01,11823276.80022,26020.0,1960580.29,5740357.43881
2020-03-12 18:00:00,2.997,3.028,1.476,1.599,9275162.7,20327275.84559,53699.0,4309072.64,9423552.56365
2020-03-13 18:00:00,1.6,4.417,1.057,1.805,8134516.81,12939432.9206,65873.0,4038869.96,6410414.23014
2020-03-14 18:00:00,1.801,1.98,1.679,1.834,5764295.38,10445390.51492,35643.0,2481089.45,4512240.97367
2020-03-15 18:00:00,1.835,2.084,1.812,1.915,3926605.1,7527933.79827,27669.0,2029932.45,3894394.76882
2020-03-16 18:00:00,1.917,1.918,1.49,1.663,3817031.29,6334378.40222,22273.0,1859905.1,3083285.27861
2020-03-17 18:00:00,1.664,1.862,1.631,1.765,2421853.11,4293403.52463,15719.0,1201704.6,2130192.61069
