open_time,open,high,low,close,volume,quote_asset_vol,trade_num,taker_buy_base_vol,taker_buy_quote_vol
2021-03-17 09:00:00,0.3,0.38418,0.295,0.36091,98054129.0,33099510.21116,138753.0,44866671.0,15124230.21447
2021-03-18 09:00:00,0.36092,0.377,0.33104,0.34508,46416741.0,16399086.41041,64102.0,20104831.0,7112225.00818
2021-03-19 09:00:00,0.34493,0.36492,0.33213,0.34458,45200593.0,15773990.82895,54815.0,20112791.0,7027875.283
2021-03-20 09:00:00,0.34456,0.35195,0.31573,0.31725,49792249.0,16676639.96524,58592.0,21039921.0,7057857.26235
2021-03-21 09:00:00,0.31795,0.35984,0.31,0.34223,73616925.0,24429340.7594,80597.0,34119684.0,11330471.42705
2021-03-22 09:00:00,0.34165,0.35541,0.303,0.31466,67084269.0,22287227.32332,84017.0,29610094.0,9842935.84357
2021-03-23 09:00:00,0.31424,0.33849,0.3,0.31981,56725662.0,18094579.25661,71014.0,25715908.0,8214283.90515
2021-03-24 09:00:00,0.31997,0.34131,0.28467,0.29792,55630570.0,17843148.68143,72095.0,24563995.0,7880962.69219
2021-03-25 09:00:00,0.29792,0.31506,0.28037,0.30185,50755081.0,15230086.5981,65179.0,24026264.0,7212635.36973
2021-03-26 09:00:00,0.3023,0.34867,0.30103,0.34675,50972710.0,16397935.59596,54481.0,24013567.0,7731197.59398
2021-03-27 09:00:00,0.34688,0.35778,0.32053,0.33907,54304249.0,18319474.44701,65626.0,24981605.0,8443916.42328
2021-03-28 09:00:00,0.33902,0.35021,0.32548,0.33898,49705677.0,16705508.80242,51135.0,23181349.0,7809940.11727
2021-03-29 09:00:00,0.33936,0.439,0.33564,0.37176,264073088.0,104738446.11402,297750.0,125386692.0,49806789.75981
2021-03-30 09:00:00,0.37217,0.415,0.36288,0.38663,130913615.0,50713397.38815,130255.0,59919531.0,23230321.81774
2021-03-31 09:00:00,0.38657,0.38909,0.33244,0.36196,110039602.0,39747386.98143,124519.0,47287163.0,17084989.04259
2021-04-01 09:00:00,0.36225,0.36611,0.3357,0.34593,82890150.0,28858131.57116,82485.0,36325017.0,12648768.23245
2021-04-02 09:00:00,0.34623,0.357,0.33533,0.35339,73405270.0,25241453.53054,64246.0,31903997.0,10977533.33467
2021-04-03 09:00:00,0.35327,0.3555,0.305,0.3124,103310385.0,33871017.13044,104578.0,44249025.0,14507247.73461
2021-04-04 09:00:00,0.31248,0.33796,0.30681,0.32518,60847142.0,19644613.01649,61418.0,28481253.0,9193631.70403
2021-04-05 09:00:00,0.32561,0.3296,0.305,0.31884,84112185.0,26786406.17858,90129.0,37719439.0,12019112.52232
2021-04-06 09:00:00,0.31883,0.339,0.30351,0.32676,115915048.0,37153962.97645,109672.0,51565151.0,16545115.5246
2021-04-07 09:00:00,0.32683,0.32972,0.28,0.30012,119987327.0,36525502.81917,117210.0,53136166.0,16189803.27464
2021-04-08 09:00:00,0.3001,0.32882,0.29728,0.32805,76700015.0,24283502.22718,77562.0,35717888.0,11314404.61599
2021-04-09 09:00:00,0.32846,0.367,0.32813,0.33854,157375705.0,54467434.47279,133397.0,71848414.0,24878021.65071
2021-04-10 09:00:00,0.33885,0.34654,0.32033,0.33237,84062865.0,28108184.40045,73208.0,37336540.0,12493645.57157
2021-04-11 09:00:00,0.33216,0.38478,0.33199,0.34916,178369601.0,63732790.70122,171048.0,81993592.0,29321057.91672
2021-04-12 09:00:00,0.3496,0.36651,0.33,0.3584,123399396.0,42569492.27837,122032.0,54878390.0,18962936.08602
2021-04-13 09:00:00,0.3584,0.41228,0.3367,0.40979,147137600.0,53210784.81939,149863.0,69856623.0,25396463.29618
2021-04-14 09:00:00,0.4098,0.41894,0.35968,0.37527,260007056.0,99363488.36915,293671.0,119310882.0,45648432.04097
2021-04-15 09:00:00,0.37532,0.38593,0.36397,0.38106,157927514.0,59440902.99457,190951.0,69808046.0,26290479.01697
2021-04-16 09:00:00,0.38127,0.38366,0.328,0.35001,166762774.0,58736413.99838,177248.0,72497512.0,25527643.97334
2021-04-17 09:00:00,0.35024,0.3732,0.34,0.34266,114358414.0,40602806.23266,133659.0,51169806.0,18182501.82721
2021-04-18 09:00:00,0.34275,0.34648,0.22052,0.30973,251379633.0,76198422.51932,289810.0,112085775.0,33977050.68475
2021-04-19 09:00:00,0.30976,0.32345,0.26728,0.28864,196311425.0,58288019.82252,196104.0,91507311.0,27172829.09785
2021-04-20 09:00:00,0.28861,0.3455,0.26364,0.32429,249058781.0,76892782.80133,249220.0,119408538.0,36838644.64114
2021-04-21 09:00:00,0.32428,0.32556,0.28837,0.29136,135335560.0,41298217.71015,137022.0,62365514.0,19046893.81454
2021-04-22 09:00:00,0.29155,0.30563,0.25011,0.25817,162598850.0,46323960.01971,147474.0,78371825.0,22358632.62407
2021-04-23 09:00:00,0.25804,0.26939,0.19776,0.26831,247119336.0,59137642.15403,218660.0,121108406.0,29030722.03791
2021-04-24 09:00:00,0.26859,0.26925,0.238,0.24391,90047246.0,22783787.7807,96056.0,42392555.0,10726029.33667
2021-04-25 09:00:00,0.24414,0.26636,0.23222,0.24658,83583560.0,20948960.06446,82367.0,39928410.0,10006068.31239
2021-04-26 09:00:00,0.24648,0.29159,0.24238,0.28488,114720317.0,31867768.45461,109631.0,54305139.0,15073934.24049
2021-04-27 09:00:00,0.28488,0.31549,0.27875,0.30387,111169728.0,33354413.24303,108731.0,52406695.0,15716728.1998
2021-04-28 09:00:00,0.30414,0.31031,0.275,0.28735,93659499.0,27204255.15944,90123.0,42077304.0,12235940.3063
2021-04-29 09:00:00,0.28755,0.31438,0.272,0.28676,120770924.0,35075356.25404,112119.0,53483843.0,15566407.61781
2021-04-30 09:00:00,0.28664,0.30525,0.279,0.30042,85147188.0,24965656.76074,84002.0,37555530.0,11020116.97182
2021-05-01 09:00:00,0.30047,0.33734,0.28265,0.32761,164424175.0,51450847.23676,144042.0,75295618.0,23609182.93576
2021-05-02 09:00:00,0.32744,0.34628,0.2944,0.32973,163886190.0,52565811.4663,150015.0,71294153.0,22886618.04511
2021-05-03 09:00:00,0.32962,0.34168,0.31634,0.32323,108433687.0,35786617.87371,103777.0,46318371.0,15297537.69638
2021-05-04 09:00:00,0.32311,0.3233,0.2759,0.27898,156699822.0,46449575.03063,145043.0,67191176.0,19925203.80843
2021-05-05 09:00:00,0.27871,0.31724,0.27445,0.31547,105452682.0,31585459.34416,103139.0,48963038.0,14679481.27761
2021-05-06 09:00:00,0.31539,0.31968,0.28795,0.29838,117788155.0,36028895.07923,131825.0,52159574.0,15965630.74623
2021-05-07 09:00:00,0.29865,0.32225,0.28615,0.30643,106345671.0,32636516.1359,119715.0,47154721.0,14481750.86062
2021-05-08 09:00:00,0.30657,0.3069,0.29064,0.2986,73822293.0,22147647.2614,85891.0,31918221.0,9586915.74357
2021-05-09 09:00:00,0.29853,0.3002,0.27498,0.29218,82336223.0,23689995.4751,93042.0,35455191.0,10209914.97349
2021-05-10 09:00:00,0.29208,0.3006,0.242,0.26467,125795546.0,34954668.51903,127972.0,54554593.0,15165982.71768
2021-05-11 09:00:00,0.26457,0.28494,0.26175,0.28362,77738908.0,21293359.11627,84608.0,36180875.0,9916947.07459
2021-05-12 09:00:00,0.28359,0.28648,0.23232,0.23976,94806511.0,25266538.11462,105488.0,41257685.0,11019889.93603
2021-05-13 09:00:00,0.23937,0.41,0.21914,0.33552,866483866.0,285112529.64235,985619.0,429383600.0,141511408.88861
2021-05-14 09:00:00,0.33511,0.39105,0.31524,0.33566,967403099.0,338301756.93195,959559.0,474717124.0,166120439.63805
2021-05-15 09:00:00,0.33551,0.33583,0.29546,0.31408,334202156.0,104575321.80347,389860.0,155133708.0,48563855.81191
